X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	Y	direction
327	315	295	311	274	239	263	287	346	178	113	240	256	114	112	326	2	forward
299	281	265	313	278	244	270	291	354	179	114	253	264	115	114	340	2	forward
302	280	255	295	264	231	262	280	346	178	113	250	261	115	113	339	2	forward
330	316	294	278	245	211	232	259	315	173	112	221	243	113	112	319	2	forward
330	318	297	309	273	237	258	283	339	176	113	233	251	114	112	321	2	forward
305	289	273	314	279	244	271	292	355	179	113	253	265	115	114	340	2	forward
297	275	251	299	267	234	265	283	349	179	113	252	263	115	113	339	2	forward
326	313	290	275	243	209	231	257	314	173	112	222	244	113	112	321	2	forward
329	316	295	306	271	235	256	281	337	176	112	232	251	113	112	321	2	forward
304	287	271	312	277	243	270	292	355	179	113	253	265	115	114	340	2	forward
300	278	253	292	260	228	259	278	344	177	113	249	262	114	113	338	2	forward
329	316	294	278	245	212	231	259	315	173	112	219	242	113	112	316	2	forward
325	313	294	311	275	241	265	288	349	178	113	243	259	114	112	329	2	forward
291	269	250	308	269	238	268	289	353	179	113	251	266	114	113	341	2	forward
315	297	271	272	234	206	236	260	324	174	112	234	256	114	112	332	2	forward
326	309	282	284	241	213	236	268	325	174	112	223	254	113	111	318	2	forward
311	296	278	307	265	235	265	289	354	179	113	250	268	114	113	339	2	forward
292	269	245	298	257	229	262	283	351	178	113	252	270	114	113	343	2	forward
324	308	285	272	232	203	228	255	314	172	111	224	250	113	112	324	2	forward
323	306	285	299	259	227	250	276	337	176	112	232	258	113	112	322	2	forward
301	280	264	307	268	235	264	288	354	179	113	254	273	114	113	341	2	forward
296	271	245	291	255	224	256	278	346	178	113	252	270	114	113	341	2	forward
325	309	286	274	237	204	226	255	313	172	111	221	250	113	112	319	2	forward
325	310	289	307	267	231	256	282	342	177	112	239	262	114	112	326	2	forward
296	274	258	307	270	237	264	286	352	179	113	253	271	115	113	341	2	forward
297	273	248	283	250	219	251	272	340	177	112	248	266	114	113	337	2	forward
323	308	286	274	240	207	227	256	314	172	111	219	246	113	112	316	2	forward
323	309	288	306	271	236	259	283	344	177	112	241	259	114	112	325	2	forward
292	271	254	306	272	238	265	287	352	179	112	253	268	114	113	340	2	forward
298	275	249	283	252	221	251	272	340	177	112	248	264	114	113	337	2	forward
323	307	285	272	239	207	226	255	313	172	111	219	246	113	112	316	2	forward
321	304	283	301	266	233	256	281	343	177	112	239	260	113	112	325	2	forward
294	270	252	301	265	234	262	286	353	179	112	253	270	114	113	341	2	forward
297	271	244	284	251	221	253	275	344	178	112	249	266	114	113	339	2	forward
328	312	285	272	237	205	230	259	318	173	111	221	248	113	111	323	2	forward
319	298	257	278	45	54	272	297	356	329	112	108	253	254	271	344	3	left
346	335	295	266	45	54	244	277	323	300	110	106	233	231	235	317	3	left
342	331	294	297	45	55	279	307	360	327	112	108	249	246	254	332	3	left
306	286	252	296	46	56	283	310	366	335	112	108	255	256	271	346	3	left
331	314	271	266	44	54	258	285	342	319	111	107	247	248	265	339	3	left
343	335	296	275	45	54	249	282	328	303	110	106	234	231	234	316	3	left
332	322	287	298	46	55	282	310	365	333	112	108	253	253	263	339	3	left
305	285	248	293	45	55	283	308	366	335	112	109	255	256	271	345	3	left
335	321	279	262	45	53	250	278	333	312	111	107	242	243	258	333	3	left
342	332	293	276	45	54	250	282	328	303	110	106	236	232	234	316	3	left
329	315	279	287	46	54	280	308	364	333	112	108	266	260	265	341	3	left
301	279	240	280	46	57	285	306	366	338	111	108	272	271	276	347	3	left
326	309	263	252	45	55	257	280	339	321	110	107	262	260	269	340	3	left
338	326	284	259	45	54	246	277	326	304	109	106	248	242	237	317	3	left
329	314	273	275	46	54	277	303	360	330	110	109	266	258	259	336	3	left
298	272	232	263	46	55	280	303	363	332	110	110	271	264	271	346	3	left
320	298	252	249	45	53	257	282	342	320	109	108	259	255	266	341	3	left
335	320	278	252	45	52	242	273	322	300	108	106	243	236	235	316	3	left
332	316	276	276	46	54	275	302	357	327	110	108	262	254	254	332	3	left
301	278	241	275	46	54	280	304	363	335	110	109	271	265	272	346	3	left
312	288	243	257	45	53	268	291	352	328	110	108	267	261	271	343	3	left
336	319	276	246	44	52	240	269	319	299	108	106	245	238	239	320	3	left
334	318	277	271	46	54	267	295	347	319	109	108	256	246	243	323	3	left
309	289	253	276	46	54	280	305	364	335	110	109	270	264	270	345	3	left
303	278	236	267	45	53	277	299	360	333	110	109	269	263	272	345	3	left
330	313	270	244	45	52	242	269	323	304	108	106	251	244	251	328	3	left
333	318	276	264	45	53	254	284	333	308	108	107	249	240	236	318	3	left
318	302	265	277	46	54	279	305	363	334	110	109	269	262	267	342	3	left
300	274	234	272	46	54	279	302	362	334	110	109	270	264	272	345	3	left
328	309	265	245	45	52	246	272	328	310	109	107	254	248	257	332	3	left
332	318	278	264	45	53	251	282	330	305	108	106	247	238	235	318	3	left
316	301	266	279	46	54	280	305	363	334	110	108	268	261	268	342	3	left
299	275	235	270	45	53	277	299	361	333	110	109	268	262	272	345	3	left
331	314	272	245	45	52	240	268	320	302	108	106	248	241	247	324	3	left
333	319	277	273	45	53	266	293	345	317	109	107	254	245	242	322	3	left
302	283	249	276	46	54	279	304	363	334	110	108	270	264	272	345	3	left
313	289	245	255	45	53	264	287	348	325	110	108	264	258	269	342	3	left
335	320	278	253	45	52	242	274	322	300	108	106	244	236	234	315	3	left
326	311	273	278	46	54	278	304	361	332	110	108	267	259	263	338	3	left
299	273	235	273	46	53	279	302	362	333	110	108	266	262	271	345	3	left
329	313	271	245	44	52	240	268	321	303	108	106	246	241	248	326	3	left
332	317	277	272	45	53	266	294	346	316	109	106	251	243	241	323	3	left
301	280	245	276	46	55	278	304	363	333	110	108	275	268	271	346	3	left
320	299	252	250	45	54	258	283	343	322	109	106	263	260	269	341	3	left
338	324	280	261	45	54	251	282	330	306	108	105	251	244	237	317	3	left
317	302	265	277	46	54	281	306	365	334	110	108	266	261	269	344	3	left
308	282	239	262	45	53	272	295	356	330	110	108	262	258	272	345	3	left
339	323	279	252	45	52	242	274	322	300	108	105	240	233	234	316	3	left
327	310	272	279	46	54	280	306	364	333	110	108	263	258	266	341	3	left
305	280	238	266	45	53	274	297	359	332	110	108	262	258	272	345	3	left
337	322	279	251	45	52	241	273	321	299	108	105	240	233	235	317	3	left
326	312	274	279	46	54	279	305	363	332	110	107	262	256	263	339	3	left
299	276	236	272	45	53	279	301	363	334	110	107	263	260	272	346	3	left
333	317	272	246	45	52	241	269	321	302	108	105	244	239	247	325	3	left
333	320	278	272	45	53	265	293	345	316	109	106	249	242	241	323	3	left
309	291	256	278	46	54	281	306	366	335	110	108	265	261	271	346	3	left
302	279	238	267	46	53	276	298	360	332	110	107	263	259	272	346	3	left
335	317	273	246	44	52	242	271	323	304	108	105	245	240	249	327	3	left
337	321	279	266	45	53	255	285	334	307	109	105	244	237	236	318	3	left
321	306	268	279	46	54	280	306	364	333	110	107	263	258	265	341	3	left
296	273	235	276	46	53	280	304	364	334	110	107	264	260	272	347	3	left
320	298	253	252	45	52	260	283	344	321	109	106	257	254	267	341	3	left
																	
																	
314	86	29	248	242	54	65	296	361	321	313	264	302	294	264	341	4	back
289	82	28	236	231	53	64	287	357	320	312	268	304	297	274	347	4	back
